section,key,zh,english
opponent_name_selection,personalisations_are_up_to_date,,Personalisations are up to date
opponent_name_selection,dialog_title_opponent_name_selection,,Opponent Name Selection
opponent_name_selection,opponent_name,,Opponent name
opponent_name_selection,none_of_the_above,,None of the above
opponent_name_selection,text_prop_type,,(text)
opponent_name_selection,integer_prop_type,,(integer)
opponent_name_selection,real_number_prop_type,,(real number)
opponent_name_selection,save_prop_changes_warning,,Profile '{0}' has unsaved changes.\Click 'Yes' to save these changes and restart the application.\Click 'No' to discard these changes
opponent_name_selection,save_prop_changes_warning_no_restart,,Profile '{0}' has unsaved changes.\Click 'Yes' to save these changes.\Click 'No' to discard these changes
opponent_name_selection,save_changes,,&Save changes
opponent_name_selection,save_changes_title,,Save changes?
opponent_name_selection,save_and_restart,,S&ave profile settings and restart
opponent_name_selection,game_filter_label,,&Game filter:
opponent_name_selection,show_common_props_label,,Show c&ommon
opponent_name_selection,show_changed_props_label,,Show c&hanged
opponent_name_selection,show_non_default_props_label,,Show n&on-default
opponent_name_selection,all_preferences_label,,All Properties
opponent_name_selection,common_preferences_label,,Common Properties
opponent_name_selection,unknown_sound_pack_language_text,,"The current Sound Pack has no language specified.\Click ""Yes"" to proceed with the update (which will apply the default English Sound Pack update files and set the language to English).\Click ""No"" to cancel."
opponent_name_selection,unknown_sound_pack_language_title,,No Sound Pack language defined
opponent_name_selection,unknown_driver_names_language_text,,"The current Sound Pack has no language specified.\Click ""Yes"" to proceed with the update (which will download the default English driver name updates).\Click ""No"" to cancel."
opponent_name_selection,unknown_driver_names_language_title,,No Sound Pack language defined
opponent_name_selection,unknown_personalisations_language_text,,"The current Sound Pack has no language specified.\Click ""Yes"" to proceed with the update (which will download the default English personalisations).\Click ""No"" to cancel."
opponent_name_selection,unknown_personalisations_language_title,,No Sound Pack language defined
opponent_name_selection,personalisation_label,,M&y name:
opponent_name_selection,install_plugin_popup_text,,"needs a plugin to work with Crew Chief.  Click OK and Crew Chief will install it (you will need to restart the game).\\Once it's installed Crew Chief should not ask again.\If it does, look for more information in the Console Window for why installing it failed."
opponent_name_selection,install_plugin_popup_title,,Plugin Needed
opponent_name_selection,install_plugin_select_directory_start,,Please browse for the folder where you installed
opponent_name_selection,install_plugin_select_directory_end,,(as it's not
opponent_name_selection,install_plugin_popup_enable_text,,Crew Chief can automatically enable the plugin for you.\If instead you select Cancel you will have to enable it yourself in the game UI.\\Click OK to enable the plugin (you will need to restart the game).
opponent_name_selection,install_plugin_popup_enable_title,,Plugin Not Enabled
opponent_name_selection,install_plugin_popup_create_text,,"Crew Chief can create the plugin config file for you, if you select Cancel you will have to enable it manually in the game UI. Click OK to create the plugin config file (you will need to restart the game) or Cancel to Return"
opponent_name_selection,install_plugin_popup_create_title,,Create CustomPluginVariables.JSON
opponent_name_selection,install_plugin_popup_error_text,,Failed to Install or Update the Plugin.  Please make sure the game is not running. Error:
opponent_name_selection,install_plugin_popup_error_title,,Plugin Install or Update failed
opponent_name_selection,install_plugin_dll_not_installed_text,,"Plugin probably won't work, continue anyway?\\See Help / Getting Started / Game specific /"
opponent_name_selection,install_plugin_dll_not_installed_title,,not installed
opponent_name_selection,install_speechplatform_popup_title,,Missing dependency
