section,key,zh,english
main_window,auto_detect_active_tooltip,,&Start Crew Chief\Auto detect active
main_window,fuel_multiplier_help,,Multiplier for fuel calculations\May be supplied by game\else enter a number.
main_window,game_definition_help,,See Property 'Limit available games'
menu_bar,copy_crew_chief_settings_tooltip,,Copy to the clipboard the Crew Chief settings that differ from default.
menu_bar,log_now_tooltip,,Send the current log to the Crew Chief dev team\(You can review it first)
menu_bar,log_saved_tooltip,,Send a saved log file to the Crew Chief dev team\(You can review it first)
menu_bar,record_trace_tooltip,,Record all the data provided by the game
menu_bar,trace_now_tooltip,,Send the current trace of all the data provided by the game to the Crew Chief dev team\(You can review it first)
menu_bar,trace_saved_tooltip,,Send a trace of all the data provided by the game to the Crew Chief dev team\(You can review it first)
menu_bar,playback_trace_tooltip,,Can be a 3 in 1 .zip file or the old .cct file
voice_and_controls,voice_recognition_mode_help,,Voice recognition mode - 'Trigger word' and 'Press and release button' not available with nAudio.
voice_and_controls,voice_recognition_always_on_help,,App always listens.
voice_and_controls,voice_recognition_toggle_button_help,,App listens after you press and release a button  (doesn't work with nAudio).
voice_and_controls,voice_recognition_hold_button_help,,App listens while you hold down a button.
voice_and_controls,voice_recognition_disabled_help,,App doesn't listen.
voice_and_controls,voice_recognition_trigger_word_help,,"App always listens for a key word or phrase, and after hearing this it listens for a command (doesn't work with nAudio)."
voice_and_controls,voice_recognition_release_button_help,,App listens while you release a button so the button can be used for voice chat in another program.
voice_and_controls,no_speech_recognition_tooltip,,"Speech input is from Windows default device\unless ""Use nAudio for speech input""\Property is selected"
my_name_dialog,enter_your_name_help,,Crew Chief AI will do its best to match you to the available names.
my_name_dialog,full_personalisation_help,,Multiple individual recordings of messages by Mr Belowski.
my_name_dialog,driver_name_help,,Canned messages by Mr Belowski with the name stitched in (may sound a little clunky).
my_name_dialog,other_driver_name_help,,Names that can be stitched into canned messages.
my_name_dialog,play_name_sample_help,,Play name sample.
my_name_dialog,no_name_help,,If no name is selected Crew Chief will simply not say personalised messages.
opponent_names_dialog,edit_guessed_names_file_tooltip,,Opens the file in Notepad which contains opponent names that Crew Chief has guessed so you can edit the guesses or delete the contents completely.
opponent_names_dialog,edit_opponent_names_file_tooltip,,Opens the file in Notepad which contains preset opponent names so you can edit them.
opponent_names_dialog,opponent_names_list_tooltip,,Opponent name : Recorded name pairs\Select then right click to listen to or change the sound.
opponent_name_selection,none_of_the_above_tooltip,,If none of the recorded names are suitable then Crew Chief will not use a name.
opponent_name_selection,show_common_props_tooltip,,Include properties shared between all the games.
opponent_name_selection,show_changed_props_tooltip,,Show only changed/unsaved properties.
opponent_name_selection,show_non_default_props_tooltip,,Show only properties that are different from the default values.
opponent_name_selection,personalisation_tooltip,,Choose a name you'd like Chief to call you (requires restart).
opponent_name_selection,chief_name_tooltip,,Choose a Chief voice (requires restart).
opponent_name_selection,spotter_name_tooltip,,Choose a Spotter voice (requires restart).
opponent_name_selection,codriver_name_tooltip,,Choose a Co-Driver voice (requires restart).
opponent_name_selection,activate_profile_tooltip,,Load selected profile and restart.
macro_editor,dos_command_tooltip,,Whatever you enter can be run as a DOS command. Use with care!
macro_editor,advanced_edit_tooltip,,No error checking!
trace_playback,playback_speed_tooltip,,"In mS, slows down playback. If 10 or more then audio will be played"
preferences,trainee_chief_path_help,,"Name of (or path to) voice files for a trainee crew chief.\The trainee crew chief will speak instead of the main crew chief only if they can say the entire sentence that the main crew chief would have spoken. This is to ease the incremental creation of (full) sound packs.\Unless it is a full path Crew Chief will look in the alt subdirectory of the sound pack (Use File/Open voice files folder to find the files).\If it is ""Jim"" it will be treated as the sound pack root.\\It is recommended to turn off opponent names (until the trainee chief has more names) and text-to-speech when using this option."
preferences,acs_install_path_help,,ACS installation path (without quotes) for plugin installation and updating .
preferences,ace_install_path_help,,AC EVO installation path (without quotes) for plugin installation and updating .
preferences,ams_install_path_help,,AMS installation path (without quotes) for plugin installation and updating.
preferences,rf1_install_path_help,,rF1 installation path (without quotes) for plugin installation and updating.
preferences,asr_install_path_help,,ASR installation path (without quotes) for plugin installation and updating.
preferences,rf2_install_path_help,,rF2 installation path (without quotes) for plugin installation and updating.
preferences,lmu_install_path_help,,Le Mans Ultimate installation path (without quotes) for plugin installation and updating.
preferences,rbr_install_path_help,,RBR installation path (without quotes) for plugin installation and updating.
preferences,gtr2_install_path_help,,GTR 2 installation path (without quotes) for plugin installation and updating.
preferences,f1_2018_install_path_help,,F1 2018 installation path.
preferences,acc_install_path_help,,ACC installation path.
preferences,f1_2019_install_path_help,,F1 2019 installation path.
preferences,override_default_sound_pack_location_help,,Use an alternative folder for the Sound Pack.
preferences,enable_acs_log_sectors_for_unknown_tracks_help,,Write sectors to Console window.
preferences,enable_ace_log_sectors_for_unknown_tracks_help,,Write sectors to Console window.
preferences,enable_driver_names_help,,"Chief uses all names, not just personalised ones."
preferences,enable_drs_beeps_help,,Beep for DRS detection (iRacing only) and availability.
preferences,gap_message_randomness_help,,"1 means less random (more deterministic), 10 means most random (potentially long waits between calls). Tweak in combination with the various gap ahead/behind frequency values."
preferences,enable_green_light_messages_help,,Go! Go! Go! message when lights turn green.
preferences,enable_pearls_of_wisdom_help,,"""Helpful"" comments on your driving."
preferences,enable_tyre_dirt_pickup_warnings_help,,Enables warning messages about going off track and picking up dirt (R3E and GTR2 only).
preferences,attempt_pcars_opponent_pit_detection_help,,Monitor opponent world positions and try to guess when they're entering and leaving the pit lane.
preferences,cache_sounds_help,,Cache sounds in memory.
preferences,disable_acs_yellow_flag_warnings_help,,Prevents yellow flag message spamming in messy online races.
preferences,disable_ace_yellow_flag_warnings_help,,Prevents yellow flag message spamming in messy online races.
preferences,disable_pcars_prac_and_qual_pole_deltas_help,,Disable pCARS practice and qual pole deltas - these are unreliable.
preferences,launch_acs_help,,When Crew Chief starts (because you click 'Start Crew Chief' or the 'Run immediately' property auto starts it) attempt to launch Assetto Corsa.
