audio_path,audio_filename,subtitle,text_for_tts,original_english
\voice\alarm_clock\alarms,1.wav,FOGHORN,FOGHORN,FOGHORN
\voice\alarm_clock\am,1.wav,a.m.,a.m.,a.m.
\voice\alarm_clock\am,2.wav,a.m.,a.m.,a.m.
\voice\alarm_clock\am,3.wav,a.m.,a.m.,a.m.
\voice\alarm_clock\notify,1.wav,we'll notify you at,we'll notify you at,we'll notify you at
\voice\alarm_clock\notify,2.wav,"okay, we'll notify you at","okay, we'll notify you at","okay, we'll notify you at"
\voice\alarm_clock\notify,3.wav,"all right, we'll notify you at","all right, we'll notify you at","all right, we'll notify you at"
\voice\alarm_clock\notify,4.wav,"acknowledged, you'll be notified at","acknowledged, you'll be notified at","acknowledged, you'll be notified at"
\voice\alarm_clock\notify,5.wav,"okay, we'll notify you at","okay, we'll notify you at","okay, we'll notify you at"
\voice\alarm_clock\notify,6.wav,we'll notify you at,we'll notify you at,we'll notify you at
\voice\alarm_clock\pm,4.wav,p.m.,p.m.,p.m.
\voice\alarm_clock\pm,5.wav,p.m.,p.m.,p.m.
\voice\alarm_clock\pm,6.wav,p.m.,p.m.,p.m.
\voice\incidents\incident_points,1.wav,incident points,incident points,incident points
\voice\incidents\incident_points,2.wav,incident points,incident points,incident points
\voice\incidents\incident_points,3.wav,incident points,incident points,incident points
\voice\incidents\incidents,1.wav,incidents,incidents,incidents
\voice\incidents\incidents,2.wav,incidents,incidents,incidents
\voice\incidents\incidents,3.wav,incidents,incidents,incidents
\voice\incidents\no_incident_limit,1.wav,there's no incident limit,there's no incident limit,there's no incident limit
\voice\incidents\no_incident_limit,2.wav,there's no incident limit,there's no incident limit,there's no incident limit
\voice\incidents\no_incident_limit,3.wav,there's no incident limit,there's no incident limit,there's no incident limit
\voice\incidents\no_incident_points_limit,1.wav,there's no incident points limit,there's no incident points limit,there's no incident points limit
\voice\incidents\no_incident_points_limit,2.wav,there's no incident points limit,there's no incident points limit,there's no incident points limit
\voice\incidents\no_incident_points_limit,3.wav,there's no incident points limit,there's no incident points limit,there's no incident points limit
