section,key,zh,english
main_window,auto_detect_active_tooltip,启动 Crew Chief\自动检测活动(&S),&Start Crew Chief\Auto detect active
main_window,fuel_multiplier_help,燃油计算的倍率\游戏可能会自己提供\否则请手工填一个数字。,Multiplier for fuel calculations\May be supplied by game\else enter a number.
main_window,game_definition_help,查看设置项「限制可用游戏」,See Property 'Limit available games'
menu_bar,copy_crew_chief_settings_tooltip,复制与默认设置不同的 Crew Chief 设置到剪贴板,Copy to the clipboard the Crew Chief settings that differ from default.
menu_bar,log_now_tooltip,将当前日志发送给 Crew Chief 开发团队\(您可以先查看一下),Send the current log to the Crew Chief dev team\(You can review it first)
menu_bar,log_saved_tooltip,发送保存的日志文件给 Crew Chief 开发团队\(您可以先查看一下),Send a saved log file to the Crew Chief dev team\(You can review it first)
menu_bar,record_trace_tooltip,记录游戏提供的所有数据,Record all the data provided by the game
menu_bar,trace_now_tooltip,将当前的游戏数据记录发送给 Crew Chief 开发团队\(您可以先查看一下),Send the current trace of all the data provided by the game to the Crew Chief dev team\(You can review it first)
menu_bar,trace_saved_tooltip,将游戏提供的所有数据记录发送给 Crew Chief 开发团队\(您可以先查看一下),Send a trace of all the data provided by the game to the Crew Chief dev team\(You can review it first)
menu_bar,playback_trace_tooltip,可以是 3 合 1 的 .zip 文件或旧的 .cct 文件,Can be a 3 in 1 .zip file or the old .cct file
voice_and_controls,voice_recognition_mode_help,语音识别模式 - 「触发词」和「按下并松开按钮」在 nAudio 下不可用,Voice recognition mode - 'Trigger word' and 'Press and release button' not available with nAudio.
voice_and_controls,voice_recognition_always_on_help,应用始终在监听。,App always listens.
voice_and_controls,voice_recognition_toggle_button_help,程序在您按下并释放按钮后开始监听（不支持 nAudio）。,App listens after you press and release a button  (doesn't work with nAudio).
voice_and_controls,voice_recognition_hold_button_help,程序按住按钮时监听,App listens while you hold down a button.
voice_and_controls,voice_recognition_disabled_help,应用未监听,App doesn't listen.
voice_and_controls,voice_recognition_trigger_word_help,程序始终监听一个关键字或短语，听到后开始监听命令（不支持 nAudio）。,"App always listens for a key word or phrase, and after hearing this it listens for a command (doesn't work with nAudio)."
voice_and_controls,voice_recognition_release_button_help,程序在你释放按键时监听，以便该按键可以用于其他程序中的语音聊天。,App listens while you release a button so the button can be used for voice chat in another program.
voice_and_controls,no_speech_recognition_tooltip,语音输入来自 Windows 默认设备\除非选择了“使用 nAudio 用于语音输入”设置项,"Speech input is from Windows default device\unless ""Use nAudio for speech input""\Property is selected"
