original_english,corrected_chinese
# 波次 1 的人工修正。按 original_english 索引，重新翻译后依然生效。
# scripts/fix_translation.py 应用；数字归一化由脚本负责，这里只写语义和语气。
#
# 片段（原文不成句的）译法要能拼接：CrewChief 会把 "we think" + 车手名 + "has gone off in" + 弯角名
# 拼成一句，所以中文也必须留出接口，不能各自成句。
#
# ===== flags：反义错，最危险的一类 =====
safety car in at end of next lap,安全车下一圈结束进站
safety car in at the end of the next lap,安全车下一圈结束进站
safety car in this lap,安全车这圈进站
P3 has gone off,第三名冲出赛道
looks like P2's off,看来第二名冲出去了
have gone off,冲出赛道了
have gone off in,冲出赛道了，在
has stacked it,撞车了
has stacked it in,撞车了，在
have stacked it,撞车了
have binned it,撞车了
have binned it in,撞车了，在
has binned it,撞车了
has binned it in,撞车了，在
"double yellows, watch out",双黄旗，注意
"we got double yellows, double yellows",双黄旗，双黄旗
rare will resume at the end of the next lap,比赛将在下一圈结束后恢复
#
# ===== flags：打转 / 撞车的说法 =====
has spun off,打转冲出去了
have spun off,打转冲出去了
have spun off in,打转冲出去了，在
have spun out,打转了
has crashed in,撞车了，在
there's a big mess in,一堆车撞在一起，在
there's a big pileup in,连环追尾，在
we think P2's binned it,第二名好像撞车了
we think P2's binned it in,第二名好像撞车了，在
we think P3's binned it,第三名好像撞车了
we think P4's binned it,第四名好像撞车了
we think P2's gone off in,第二名冲出赛道了，在
we think P3's gone off in,第三名冲出赛道了，在
looks like P2's gone off in,看来第二名冲出去了，在
looks like P3's gone off in,看来第三名冲出去了，在
looks like the leader's binned it,看来领跑的撞车了
looks like the leader's binned it in,看来领跑的撞车了，在
looks like P5's binned it,看来第五名撞车了
looks like P6 has binned it,看来第六名撞车了
looks like P4 has binned it in,看来第四名撞车了，在
#
# ===== flags：sector 统一成「第N分段」 =====
sector 1 is clear,第一分段安全
sector 1 is yellow,第一分段黄旗
sector 2 is yellow,第二分段黄旗
sector 3 is yellow,第三分段黄旗
"incident in sector 1, sector 1 is yellow",第一分段有事故，第一分段黄旗
"incident in sector 2, sector 2 is yellow",第二分段有事故，第二分段黄旗
"incident in sector 3, sector 3 is yellow",第三分段有事故，第三分段黄旗
green flag sector 2,绿旗，第二分段
green flag sector 3,绿旗，第三分段
yellow flag in sector 1,第一分段黄旗
yellow flag in sector 2,第二分段黄旗
yellow flag in sector 3,第三分段黄旗
#
# ===== flags：caution 是黄旗期间，不是「谨慎状态」 =====
"full course yellow, we're under caution",全场黄旗，黄旗期间
"safety car out, we're under caution",安全车出动，黄旗期间
"we're under caution, full course yellow",黄旗期间，全场黄旗
"we're under caution, pits are closed",黄旗期间，维修区关闭
"we're under caution, pits closed",黄旗期间，维修区关闭
"we're under caution, pits are open to lead lap cars",黄旗期间，只有领先圈的车能进站
#
# ===== flags：stay high 统一「保持外侧」 =====
"stay high in turn 3, we've got a slow car",三号弯保持外侧，前面有慢车
#
# ===== flags：语气，工程师不说书面语 =====
"okay, all sorted",好了，都清了
give this place back,把位置让回去
we need to give this place back,得把位置让回去
we still need to give back,还得让回
we still need to give one place back,还得让回一个位置
we still need to give up,还得让位
we need to give up one more position,还得再让一个位置
we need to let this guy through,让他过去
stay behind,跟在后面
we can see,我们看到
two to green,还有两圈发车
two more to green,还有两圈发车
we're going green next time by,下次经过就发车
we can overtake this guy,可以超他了
it looks like,看起来
it looks like it's,看起来是
we think it might be,可能是
places or we'll get a penalty,个位置，否则要吃罚
positions or we'll be penalized,个位置，否则要吃罚
"positions, or we'll be black flagged",个位置，否则要吃黑旗
"yellow flag, keep your wits about you, mate",黄旗，打起精神，老兄
"black flag, we're being shown the black flag",黑旗，我们被出示黑旗了
we're shown the black flag,我们被出示黑旗了
#
# ===== acknowledge：进站策略的语序 =====
pit strategy 1 selected,已选择一号进站策略
pit strategy 2 selected,已选择二号进站策略
pit strategy 3 selected,已选择三号进站策略
pit strategy 4 selected,已选择四号进站策略
"yeah, nailed that fucker",干得漂亮
#
# ===== 脏话：保留原味 =====
# 这 46 条的文件名都带 sweary 标记，SoundSet.initialise() 按 use_sweary_messages 过滤
# （Audio/Sounds.cs:1503），关了开关的人根本听不到，所以照原文的力度译。
# 不在此列：acknowledge/3.wav 的 "shut the hell up" 和 lap_counter/2.wav 的 "bloody awful"
# 文件名不带 sweary，对所有人都播，保持温和。
"ah, bollocks, see if you can get him back",妈的，看看能不能超回来
"bollocks start mate, get your head down, fix it",起步稀烂，老兄，沉住气，补回来
"come on, just fucking send it",上啊，给我他妈冲进去
"come on, mate, go fucking faster",快啊老兄，他妈的再快点
"come on, nail this fucker",上，干掉这孙子
"come on, push like a bastard, we'll get this guy",拼命推，这家伙我们吃得下
"come on, stick with the bastard",咬住这孙子
"come on, stop fannying about, fucking pass him",别磨蹭了，他妈的超过去
"come on, we can have this bastard",上，这孙子我们拿得下
"crap start, but we got time to sort this out",起步稀烂，但还有时间捞回来
"crap start, mate, but we need you to recover something here",起步稀烂，老兄，得在这儿捞回点东西
"don't be intimidated by this little shit, make him work for it",别被这小兔崽子唬住，让他自己拼去
