section,key,zh,english
main_window,main_window_title_prefix,Crew Chief - 当前配置方案：,Crew Chief - Active Profile:
main_window,checking_sound_pack_version,检查语音包版本...,Checking Sound Pack version...
main_window,checking_driver_names_version,检查车手名版本...,Checking driver names version...
main_window,checking_personalisations_version,检查个性化称呼版本...,Checking personalisations version...
main_window,sound_pack_are_up_to_date,语音包已是最新,Sound Pack is up to date
main_window,sound_packs_are_up_to_date,语音包已是最新,Sound Packs are up to date
main_window,no_sound_pack_detected_unable_to_locate_update,未检测到语音包，无法定位更新,"No Sound Pack detected, unable to locate update"
main_window,no_sound_pack_detected_press_to_download,未检测到语音包，点击下载,"No Sound Pack detected, press to download"
main_window,updated_sound_pack_available_press_to_download,有语音包更新，点击下载(&U),"&Updated Sound Pack available, press to download"
main_window,an_updated_sound_pack_available_press_to_download,有语音包更新，点击对应按钮下载,"An updated sound pack is available, press its button to download it"
main_window,no_driver_names_detected_unable_to_locate_update,未检测到车手名，无法定位更新,"No driver names detected, unable to locate update"
main_window,no_driver_names_detected_press_to_download,未检测到车手名，点击下载,"No driver names detected, press to download"
main_window,updated_driver_names_available_press_to_download,有车手名更新，点击下载(&I),"Updated dr&iver names available, press to download"
main_window,driver_names_are_up_to_date,车手名已是最新,Driver names are up to date
main_window,no_personalisations_detected_unable_to_locate_update,未检测到个性化称呼，无法定位更新,"No personalisations detected, unable to locate update"
main_window,no_personalisations_detected_press_to_download,未检测到个性化称呼，点击下载,"No personalisations detected, press to download"
main_window,updated_personalisations_available_press_to_download,有个性化称呼更新，点击下载(&W),"Updated personalisations available, press to do&wnload"
main_window,stop,停止(&S),&Stop
main_window,stop_and_save,停止并保存记录文件(&S),&Stop and Save trace
main_window,start_application,启动 Crew Chief(&S),&Start Crew Chief
main_window,fuel_multiplier,燃油倍数  X,Fuel multiplier  X
main_window,incremental_updates_count,个更新待应用,updates to apply
main_window,please_choose_a_game_option,请选择游戏选项,Please choose a game option
main_window,no_game_selected,未选择游戏,No game selected
main_window,waiting_for_button_click_to_cancel,等待按键，点击可取消,"Waiting for button, click to cancel"
main_window,assign,分配,Assign
main_window,assign_control,分配控制(&G),Assi&gn control
main_window,delete_assignment,删除分配(&D),&Delete assignment
main_window,available_controllers,可用控制器(&C),Available &controllers
main_window,no_control_assigned,未分配控制器,No control assigned
main_window,available_actions,已分配的操作(&T),Assigned ac&tions
main_window,properties,设置项(&P),&Properties
main_window,voice_recognition_mode,语音识别模式(&R),Voice &recognition mode
main_window,always_on,始终启用,Always on
main_window,trigger_word,触发词,Trigger word
main_window,toggle_button,按下并松开按钮,Press and release button
main_window,hold_button,按住按钮,Hold button
main_window,voice_recognition_listen_if_not_pressed,未按下时监听,Listen if not pressed
main_window,disabled,禁用,Disabled
main_window,game,游戏(&G),&Game
main_window,app_version,应用版本,App version
menu_bar,file_menu,文件(&F),&File
menu_bar,exit_menu_item,退出(&X),E&xit
menu_bar,console_menu,控制台(&C),&Console
menu_bar,copy_console_text,复制所有控制台文本(&A),Copy &all console text
menu_bar,copy_selected_text,复制选中的控制台文本(&S),Copy &selected console text
menu_bar,clear_console,清除控制台(&O),Clear c&onsole
menu_bar,save_console_output,保存控制台文本(&T),Save console &text
menu_bar,save_console_output_as,将控制台文本保存为...,Save console text as...
menu_bar,copy_crew_chief_settings,复制 Crew Chief 设置(&S),Copy Crew Chief &settings
menu_bar,opponent_names_menu,对手名称(&O),&Opponent Names
