audio_path,audio_filename,subtitle,text_for_tts,original_english
\voice\conditions\air_and_track_temp_decreasing,1.wav,air and track temps are decreasing,air and track temps are decreasing,air and track temps are decreasing
\voice\conditions\air_and_track_temp_decreasing,2.wav,air and track temps are falling,air and track temps are falling,air and track temps are falling
\voice\conditions\air_and_track_temp_decreasing,3.wav,air and track temps decreasing,air and track temps decreasing,air and track temps decreasing
\voice\conditions\air_and_track_temp_increasing,1.wav,air and track temperatures are increasing,air and track temperatures are increasing,air and track temperatures are increasing
\voice\conditions\air_and_track_temp_increasing,2.wav,air and track temperatures are rising,air and track temperatures are rising,air and track temperatures are rising
\voice\conditions\air_and_track_temp_increasing,3.wav,air and track temps are increasing,air and track temps are increasing,air and track temps are increasing
\voice\conditions\air_temp_decreasing_its_now,1.wav,"air temperature's falling, it's now","air temperature's falling, it's now","air temperature's falling, it's now"
\voice\conditions\air_temp_decreasing_its_now,2.wav,"air temperature's decreasing, it's now","air temperature's decreasing, it's now","air temperature's decreasing, it's now"
\voice\conditions\air_temp_decreasing_its_now,3.wav,"air temp's falling, it's now","air temp's falling, it's now","air temp's falling, it's now"
\voice\conditions\air_temp_increasing_its_now,1.wav,"air temperature's increasing, it's now","air temperature's increasing, it's now","air temperature's increasing, it's now"
\voice\conditions\air_temp_increasing_its_now,2.wav,"air temp's rising, it's now","air temp's rising, it's now","air temp's rising, it's now"
\voice\conditions\air_temp_increasing_its_now,3.wav,"air temp's increasing, it's now","air temp's increasing, it's now","air temp's increasing, it's now"
\voice\conditions\air_temp_is,1.wav,the air temp is,the air temp is,the air temp is
\voice\conditions\air_temp_is,2.wav,the air temp is,the air temp is,the air temp is
\voice\conditions\air_temp_is,3.wav,the air temp is,the air temp is,the air temp is
\voice\conditions\air_temp_is_now,1.wav,air temperature's now,air temperature's now,air temperature's now
\voice\conditions\air_temp_is_now,2.wav,air temperature is now,air temperature is now,air temperature is now
\voice\conditions\air_temp_is_now,3.wav,air temp is now,air temp is now,air temp is now
\voice\conditions\celsius,1.wav,celsius,celsius,celsius
\voice\conditions\celsius,2.wav,celsius,celsius,celsius
\voice\conditions\celsius,3.wav,celsius,celsius,celsius
\voice\conditions\celsius,4.wav,celsius,celsius,celsius
\voice\conditions\drizzle_decreasing,1.wav,"just drizzling now, looks like it'll stop soon","just drizzling now, looks like it'll stop soon","just drizzling now, looks like it'll stop soon"
\voice\conditions\drizzle_decreasing,2.wav,"the rain's almost stopped, just a bit of drizzle now","the rain's almost stopped, just a bit of drizzle now","the rain's almost stopped, just a bit of drizzle now"
\voice\conditions\drizzle_decreasing,3.wav,we've got drizzle now and it's drying out,we've got drizzle now and it's drying out,we've got drizzle now and it's drying out
