section,key,zh,english
main_window,main_window_title_prefix,,Crew Chief - Active Profile:
main_window,checking_sound_pack_version,,Checking Sound Pack version...
main_window,checking_driver_names_version,,Checking driver names version...
main_window,checking_personalisations_version,,Checking personalisations version...
main_window,sound_pack_are_up_to_date,,Sound Pack is up to date
main_window,sound_packs_are_up_to_date,,Sound Packs are up to date
main_window,no_sound_pack_detected_unable_to_locate_update,,"No Sound Pack detected, unable to locate update"
main_window,no_sound_pack_detected_press_to_download,,"No Sound Pack detected, press to download"
main_window,updated_sound_pack_available_press_to_download,,"&Updated Sound Pack available, press to download"
main_window,an_updated_sound_pack_available_press_to_download,,"An updated sound pack is available, press its button to download it"
main_window,no_driver_names_detected_unable_to_locate_update,,"No driver names detected, unable to locate update"
main_window,no_driver_names_detected_press_to_download,,"No driver names detected, press to download"
main_window,updated_driver_names_available_press_to_download,,"Updated dr&iver names available, press to download"
main_window,driver_names_are_up_to_date,,Driver names are up to date
main_window,no_personalisations_detected_unable_to_locate_update,,"No personalisations detected, unable to locate update"
main_window,no_personalisations_detected_press_to_download,,"No personalisations detected, press to download"
main_window,updated_personalisations_available_press_to_download,,"Updated personalisations available, press to do&wnload"
main_window,stop,,&Stop
main_window,stop_and_save,,&Stop and Save trace
main_window,start_application,,&Start Crew Chief
main_window,fuel_multiplier,,Fuel multiplier  X
main_window,incremental_updates_count,,updates to apply
main_window,please_choose_a_game_option,,Please choose a game option
main_window,no_game_selected,,No game selected
main_window,waiting_for_button_click_to_cancel,,"Waiting for button, click to cancel"
main_window,assign,,Assign
main_window,assign_control,,Assi&gn control
main_window,delete_assignment,,&Delete assignment
main_window,available_controllers,,Available &controllers
main_window,no_control_assigned,,No control assigned
main_window,available_actions,,Assigned ac&tions
main_window,properties,,&Properties
main_window,voice_recognition_mode,,Voice &recognition mode
main_window,always_on,,Always on
main_window,trigger_word,,Trigger word
main_window,toggle_button,,Press and release button
main_window,hold_button,,Hold button
main_window,voice_recognition_listen_if_not_pressed,,Listen if not pressed
main_window,disabled,,Disabled
main_window,game,,&Game
main_window,app_version,,App version
menu_bar,file_menu,,&File
menu_bar,exit_menu_item,,E&xit
menu_bar,console_menu,,&Console
menu_bar,copy_console_text,,Copy &all console text
menu_bar,copy_selected_text,,Copy &selected console text
menu_bar,clear_console,,Clear c&onsole
menu_bar,save_console_output,,Save console &text
menu_bar,save_console_output_as,,Save console text as...
menu_bar,copy_crew_chief_settings,,Copy Crew Chief &settings
menu_bar,opponent_names_menu,,&Opponent Names
menu_bar,speech_wizard_menu,,Speech &Wizard
menu_bar,problems_menu,,&Problems?
menu_bar,log_now,,Send the current log file to devs
menu_bar,log_saved,,Send a saved log file to devs
menu_bar,record_trace,,&Record a trace
menu_bar,trace_now,,&Send the trace you've just recorded to devs
menu_bar,trace_saved,,&Send a saved trace to devs
menu_bar,playback_trace,,(Debug builds only) &Playback a trace of a game
menu_bar,send_log_trace_instructions,,1) Copy the file path and upload it to Google drive or a (free) file-sharing site like file.io or wetransfer.com 2) write an email with the download link for the file and notes about the problem to the Crew Chief developers using the Crew Chief issues email address:
menu_bar,help_menu,,&Help
voice_and_controls,crew_chief_help_title,,Crew Chief Help
voice_and_controls,restore_context_menu,,Restore
voice_and_controls,start_context_menu,,Start {0} mode
voice_and_controls,close_context_menu,,Close
voice_and_controls,running_context_menu,,Crew Chief is running in {0} mode
voice_and_controls,idling_context_menu,,Crew Chief is idling
voice_and_controls,extracting_sound_pack,,Extracting Sound Pack
voice_and_controls,error_downloading_sound_pack,,"Error downloading Sound Pack, check the readme file for instructions on how to manually download and install this."
voice_and_controls,unable_to_download_sound_pack,,Unable to download Sound Pack
voice_and_controls,extracting_driver_names,,Extracting driver names
voice_and_controls,error_downloading_personalisations,,"Error personalisations names, check the readme file for instructions on how to manually download and install this."
voice_and_controls,unable_to_download_personalisations,,Unable to download personalisations
voice_and_controls,extracting_personalisations,,Extracting personalisations
voice_and_controls,error_downloading_driver_names,,"Error downloading driver names, check the readme file for instructions on how to manually download and install this."
voice_and_controls,unable_to_download_driver_names,,Unable to download driver names
voice_and_controls,the_application_must_be_restarted_to_load_the_new_sounds,,The application must be restarted to load the new sounds. Click OK to restart the application.
voice_and_controls,the_application_must_be_restarted_to_load_the_new_sounds_need_another_restart,,The application must be restarted to load the new sounds. An additional download may be required. Click OK to restart the application.
voice_and_controls,speech_recognition_device_label,,Sp&eech input device
voice_and_controls,no_speech_recognition_device,,<Using Windows default speech input device>
voice_and_controls,load_new_sounds,,Load new sounds
voice_and_controls,downloading_sound_pack,,Downloading Sound Pack...
voice_and_controls,downloading_driver_names,,Downloading driver names...
voice_and_controls,downloading_personalisations,,Downloading personalisations...
voice_and_controls,talk_to_crew_chief,,Talk to Crew Chief
voice_and_controls,toggle_race_updates_on/off,,Toggle race updates on/off
voice_and_controls,toggle_spotter_on/off,,Toggle Spotter on/off
voice_and_controls,toggle_opponent_deltas_on/off_for_each_lap,,Toggle opponent deltas on/off for each lap
voice_and_controls,press_to_replay_the_last_message,,Press to replay the last message
voice_and_controls,udp_network_data_buttons,,UDP network data buttons
voice_and_controls,volume_up,,Increase messages volume
voice_and_controls,volume_down,,Decrease messages volume
voice_and_controls,toggle_mute,,Toggle mute
voice_and_controls,print_track_data,,Print track and position info
voice_and_controls,toggle_yellow_flag_messages,,Toggle yellow flag messages
voice_and_controls,activate_pit_prediction,,Pit stop prediction
voice_and_controls,get_fuel_status,,Report fuel/battery status
voice_and_controls,get_status,,"Report car, damage and session status"
voice_and_controls,get_car_status,,Report car status and damage
voice_and_controls,get_session_status,,Report session status
voice_and_controls,get_damage_report,,Report car damage
voice_and_controls,toggle_rally_recce_mode,,Toggle stage recce mode (rally only)
voice_and_controls,reset_vr_view,,Reset VR view
voice_and_controls,custom_device,,custom device
voice_and_controls,assigned_to,,assigned to
voice_and_controls,button,,button
voice_and_controls,POV,,PoV
voice_and_controls,not_assigned,,not assigned
my_name_dialog,selecting_a_name,,Selecting a name
my_name_dialog,enter_your_name,,Enter your name and then\press the Search button
my_name_dialog,full_personalisation,,Full personalisations
my_name_dialog,driver_name,,Driver names
my_name_dialog,other_driver_name,,Other possible driver names
my_name_dialog,no_name,,No name thanks
my_name_dialog,select,,Select
opponent_names_dialog,dialog_title_opponent_names,,Opponent Names
opponent_names_dialog,guessed_opponent_names,,Guessed Opponent Names
opponent_names_dialog,edit_guessed_names_file,,Edit Guessed Names File
opponent_names_dialog,delete_additional_names_file,,Delete Additional Names File
opponent_names_dialog,edit_opponent_names_file,,Edit Opponent Names File
